"player","team"
"Matthews, Wesley",POR
"Robinson, Thomas",POR
"Williams, Mo",POR
"Wright, Dorell",POR
"Arthur, Darrell",DEN
"Faried, Kenneth",DEN
"Fournier, Evan",DEN
"Foye, Randy",DEN
"Hickson, JJ",DEN
"Lawson, Ty",DEN
"McGee, JaVale",DEN
"Mozgov, Timofey",DEN
"Randolph, Anthony",DEN
"Robinson, Nate",DEN
"Cousins, DeMarcus",SAC
"McLemore, Ben",SAC
"Outlaw, Travis",SAC
"Thomas, Isaiah",SAC
"Thompson, Jason",SAC
"Bogut, Andrew",GSW
"Curry, Stephen",GSW
"Green, Draymond",GSW
"Iguodala, Andre",GSW
"Kuzmic, Ognjen",GSW
"Lee, David",GSW
"Nedovic, Nemanja",GSW
"O'Neal, Jermaine",GSW
"Speights, Marreese",GSW
"Thompson, Klay",GSW
"Farmar, Jordan",LAL
"Gasol, Pau",LAL
"Harris, Elias",LAL
"Henry, Xavier",LAL
"Hill, Jordan",LAL
"Johnson, Wesley",LAL
"Kaman, Chris",LAL
"Meeks, Jodie",LAL
"Sacre, Robert",LAL
"Williams, Shawne",LAL
"Young, Nick",LAL
"Boozer, Carlos",CHI
"Butler, Jimmy",CHI
"Dunleavy, Mike",CHI
"Gibson, Taj",CHI
"Hinrich, Kirk",CHI
"Noah, Joakim",CHI
"Rose, Derrick",CHI
"Anthony, Carmelo",NYK
"Bargnani, Andrea",NYK
"Chandler, Tyson",NYK
"Felton, Raymond",NYK
"Hardaway Jr., Tim",NYK
"Shumpert, Iman",NYK
"Stoudemire, Amar'e",NYK
"World Peace, Metta",NYK
"Bogut, Andrew",GSW
"Curry, Stephen",GSW
"Green, Draymond",GSW
"Iguodala, Andre",GSW
"Lee, David",GSW
"O'Neal, Jermaine",GSW
"Speights, Marreese",GSW
"Thompson, Klay",GSW
"Barnes, Matt",LAC
"Collison, Darren",LAC
"Crawford, Jamal",LAC
"Dudley, Jared",LAC
"Griffin, Blake",LAC
"Hollins, Ryan",LAC
"Jordan, DeAndre",LAC
"Paul, Chris",LAC
"Redick, JJ",LAC
"Aminu, Al-Farouq",NOP
"Davis, Anthony",NOP
"Evans, Tyreke",NOP
"Gordon, Eric",NOP
"Holiday, Jrue",NOP
"Morrow, Anthony",NOP
"Rivers, Austin",NOP
"Roberts, Brian",NOP
"Smith, Jason",NOP
"Stiemsma, Greg",NOP
"Afflalo, Arron",ORL
"Harkless, Maurice",ORL
"Maxiell, Jason",ORL
"Moore, E'Twaun",ORL
"Nelson, Jameer",ORL
"Nicholson, Andrew",ORL
"O'Quinn, Kyle",ORL
"Oladipo, Victor",ORL
"Vucevic, Nikola",ORL
"Anderson, James",PHI
"Carter-Williams, Michael",PHI
"Thompson, Hollis",PHI
"Wroten, Tony",PHI
"Young, Thaddeus",PHI
"Ariza, Trevor",WAS
"Beal, Bradley",WAS
"Booker, Trevor",WAS
"Gortat, Marcin",WAS
"Harrington, Al",WAS
"Seraphin, Kevin",WAS
"Wall, John",WAS
"Webster, Martell",WAS
"Antic, Pero",ATL
"Brand, Elton",ATL
"Carroll, DeMarre",ATL
"Horford, Al",ATL
"Korver, Kyle",ATL
