"id", "player","avg_def_dist","avg_zerothree","avg_three_ten","avg_ten_sixteen","avg_sixteen_not3","avg_dribbles","avg_touch_time","avg_fgm","avg_shotclock","prop_fga_ofteam","avg_threep","shots_per_game"
"1","Acy, Quincy",203112,-0.509177037391805,1.87456053066701,0.100367147424128,-0.595184692582958,-0.205073159946853,-0.729491098608847,-0.71210620430639,0.325569454426581,-0.413526786756866,-0.948768851336375,-0.896440896545915,-1.00981369233322
"2","Adams, Steven",203500,-1.93669293807417,2.14220376146803,1.14823408393285,-0.622506005943871,-1.28839296958146,-0.877177451141547,-0.842728459182345,0.763672489723996,2.05782149609254,-0.991882906743096,-1.18386888953676,-0.98682803449202
"3","Adrien, Jeff",202399,-1.06824994467281,1.49267401790141,0.523461659871958,-0.223479910808574,-0.0490062226423126,-0.668770728807239,-0.721048495271572,0.730312662638411,-0.471617874202161,0.329335602760291,-1.18386888953676,0.351644502876513
"4","Afflalo, Arron",201167,-0.207778346914432,-0.737719434309975,-0.88374908285774,1.55458158774717,0.729818138680654,-0.0282049911492237,-0.063547117608005,0.228316444365296,-0.489316123920139,1.6899985007616,0.180950483632655,1.55308715696095
"5","Ajinca, Alexis",201582,-0.669513284812996,0.515390426880676,0.869000893128105,1.18999672440577,-0.261606950928954,-0.788816944815667,-0.807676585242019,1.02564699430598,-0.419595353070812,-0.530666612954721,-1.16478653315562,-0.53485043559528
"6","Aldrich, Cole",202332,-2.21912856879672,1.17523466954178,2.40979378636348,-1.38750278004941,-1.46921535211362,-0.733435244522183,-0.862484075692215,0.935237314735572,0.635099592172809,-1.03205992594857,-1.18386888953676,-1.04479186730897
"7","Aldridge, LaMarcus",200746,-0.126360157415476,-0.533447682284871,-0.357923127327609,2.29647730231225,1.73684870281918,-0.365852753704419,-0.144981441477084,0.15235531192526,-0.639328349960233,2.75347515271747,-1.14691686121945,3.20551933867746
"8","Allen, Lavoy",202730,0.653134829699686,-0.29848827804636,1.40478656123386,0.352489882622007,0.381554916156677,-0.870784325739539,-0.829015737134318,0.592107664712419,-0.0766978571621584,-0.631315759278672,-1.18386888953676,-0.627677130723218
"9","Allen, Ray",951,0.933135189555309,-0.469160063190958,-1.06142384956295,-0.121438079973317,-0.58163778182446,-0.431449743152452,-0.570459678494212,0.0500429257653431,-0.722944408438119,0.130153354447309,1.43765335003729,0.0695544904599498
"10","Allen, Tony",2754,-0.419724915570524,0.860800664125199,0.657473496393891,-0.818659024945291,-0.0574098269587183,-0.347246051503557,-0.435897840217607,0.51556335816879,0.605720142650721,0.0847091062186557,-0.712192183090246,0.0579745946535855
"11","Aminu, Al-Farouq",202329,-0.40110703770008,0.381759732370731,0.855045232523377,-0.672384916489946,0.1903764488848,-0.528466794332867,-0.679809027733061,0.318735141342331,0.280456922084512,-0.210437816490172,-0.749252495739616,-0.189225707402264
"12","Andersen, Chris",2365,-0.927443687609112,3.24818743743441,-0.0923694772614026,-1.21552676106444,-0.859465457528444,-0.937267074668757,-1.28088455124305,2.09629229330227,0.715619228646698,-0.680555523373113,-1.0056189714029,-0.724036782158262
"13","Anderson, Alan",101187,-0.103919675931347,-0.397031957849992,-0.706001217476432,-0.190222114544549,-0.514085695809845,-0.244010560520643,-0.050891991345415,-0.402968320354717,-0.767681628571454,-0.122288447897721,1.11555505438997,-0.18432876290566
"14","Anderson, James",202341,0.679579464920443,-0.00576710676340251,-0.317055756778518,-0.544897637556352,-1.05646860937718,-0.432994216688921,-0.546909575443289,-0.0419362538086176,1.35478784717042,0.896991958324644,1.02936974914534,0.43723794903344
"15","Anderson, Ryan",201583,0.605896901851345,-0.188141991801924,-0.889983936651861,-0.317790309759275,-0.133517941522321,-0.668344433977565,-0.658872834841457,-0.127601381090854,0.224586832336886,1.89579282008527,0.94201362465965,2.18404346470198
"16","Antetokounmpo, Giannis",203507,-0.192922097483718,0.224620234561427,0.385709958144756,-0.546731131678465,-0.656215492666719,-0.239754551907181,-0.269281276900577,-0.24355046228195,0.270715278055715,-0.223572936135352,0.135180504653771,-0.337887877552696
"17","Anthony, Carmelo",2546,-0.270680936145084,-0.484365930172164,-0.929807948510949,1.2821976986067,1.03573932807102,0.332954972906491,0.850731485082849,0.151597019298342,-0.694014923756366,3.19099772785728,-0.028633249897523,3.29934966957293
"18","Anthony, Joel",201202,-0.837455844213507,0.272504783023214,0.979101904046542,2.59440350567942,-0.864155841332946,-0.738289577953982,-0.498575488495065,-0.556056933441965,1.04487534212312,-1.18345599714338,-1.18386888953676,-1.17071329722165
"19","Antic, Pero",203544,1.51484192924367,0.149766793440785,-1.17106498668167,-0.802289420481864,-0.790155757280633,-0.814247673019892,-0.783224731756939,-0.231156639479813,-0.284096151873916,-0.248576788437109,1.47949265702585,-0.225856042983245
"20","Ariza, Trevor",2772,1.18537179151975,-0.161713605409197,-0.720933964974595,-0.954098014255796,-0.422366357270867,-0.533084832169043,-0.584990430651411,0.221536021921852,0.896044559362485,0.850706023919009,1.16889944380952,0.947445317131877
"21","Armstrong, Hilton",200756,-1.16065675301024,0.411838018021057,0.725184740110237,2.50458607066298,-0.64123917946638,-0.675310988957229,-0.489761444206048,0.330245563378964,-1.03067125273231,-1.11601798153841,-1.18386888953676,-1.08020726947191
"22","Arthur, Darrell",201589,1.15761809845375,-0.654733141251739,-1.05597327432414,-0.186289571301626,2.96276878015294,-0.866321595497396,-0.957204067134446,-0.41812176175168,0.173764923550221,-0.194671252458015,-0.506881129395893,-0.190463396670637
